area_avg|Área 1|50011.87
area_avg|Área 2|50077.08
last_name_max|Aggrizzi|Agnesse Aggrizzi|99969.67
last_name_max|Agnello|Aloani Agnello|99927.32
last_name_max|Agosta|Abrielle Agosta|99905.86
last_name_max|Agosti|Alpha Agosti|99945.03
last_name_max|Agostinelli|Alex Agostinelli|99941.28
last_name_max|Agostini|Agustina Agostini|99884.95
last_name_max|Agostino|Abriann Agostino|99838.63
last_name_max|Agosto|Allarick Agosto|99934.40
last_name_max|Agrella|Abbeygale Agrella|99870.23
last_name_max|Agresta|Aliye Agresta|99743.25
last_name_max|Agresti|Adolphe Agresti|99908.11
last_name_max|Agrisi|Alishay Agrisi|99989.61
last_name_max|Agrizzi|Abelard Agrizzi|99799.66
last_name_max|Agro|Alonya Agro|99993.02
last_name_max|Agrusa|Alarico Agrusa|99824.02
last_name_max|Aguiar|Alisen Aguiar|99905.22
last_name_max|Aguilar|Agnizika Aguilar|99622.61
last_name_max|Aguillard|Althyah Aguillard|99840.08
last_name_max|Aguillon|Adisson Aguillon|99892.01
last_name_max|Aguirre|Allysyne Aguirre|99944.66
last_name_max||Aidan |99955.84
last_name_max|Aide|Abbot Aide|99835.80
last_name_max|Aiette|Adrien Aiette|99927.20
last_name_max|Aime|Altha Aime|99775.89
last_name_max|Airoldi|Adalee Airoldi|99977.17
last_name_max|Airoso|Abbygayle Airoso|99872.11
last_name_max|Ajello|Adaleah Ajello|99988.56
last_name_max|Akechi|Aleaseya Akechi|99838.65
last_name_max|Alagna|Alister Alagna|99984.65
last_name_max|Alaimo|Agathi Alaimo|99980.38
last_name_max|Alarie|Alexandrina Alarie|99907.09
last_name_max|Alario|Adali Alario|99844.48
last_name_max|Alba|Alivia Alba|99964.96
last_name_max|Albani|Allyn Albani|99934.92
last_name_max|Albano|Abo Albano|99997.95
last_name_max|Albergo|Adreannah Albergo|99996.14
last_name_max|Alberici|Allana Alberici|99928.69
last_name_max|Alberico|Aherin Alberico|99893.86
last_name_max|Albernaz|Aleen Albernaz|99998.69
last_name_max|Alberta|Allythyah Alberta|99869.08
last_name_max|Albertelli|Alaric Albertelli|99985.00
last_name_max|Alberti|Abigayle Alberti|99920.30
last_name_max|Albertini|Ailee Albertini|99886.43
last_name_max|Alberto|Albertus Alberto|99950.41
last_name_max|Albini|Adamec Albini|99975.78
last_name_max|Albino|Agnesa Albino|99846.96
last_name_max|Albrecht|Adelynn Albrecht|99920.69
last_name_max|Albuquerque|AlAshab Albuquerque|99996.13
last_name_max|Alcantra|Akeela Alcantra|99913.37
last_name_max|Aldi|Abrien Aldi|99995.85
last_name_max|Ale|Agath Ale|99814.46
last_name_max|Alencar|Adoree Alencar|99439.52
last_name_max|Alenquer|Akshaj Alenquer|99977.49
last_name_max|Aleo|Ahearne Aleo|99969.84
last_name_max|Ales|Alton Ales|99908.91
last_name_max|Alesi|Adare Alesi|99947.26
last_name_max|Alessandrini|Adley Alessandrini|99880.51
last_name_max|Alessandro|Algenon Alessandro|99999.21
last_name_max|Alessi|Alard Alessi|99970.16
last_name_max|Alessio|Alicia Alessio|99974.44
last_name_max|Alexander|Adriena Alexander|99963.56
last_name_max|Alexandre|Alexandre Alexandre|99998.88
last_name_max|Alfano|Alexia Alfano|99956.52
last_name_max|Alfarenga|Algin Alfarenga|99996.06
last_name_max|Alfieri|Albyrt Alfieri|99589.36
last_name_max|Algiere|Aaniyah Algiere|99878.28
last_name_max|Ali|Agatha Ali|99818.09
last_name_max|Aliberti|Alf Aliberti|99862.19
last_name_max|Alice|Ai Alice|99914.76
last_name_max|Alioto|Aleksey Alioto|99898.24
last_name_max|Alix|Adelaide Alix|99837.71
last_name_max|Allaire|Adaline Allaire|99987.69
last_name_max|Allard|Aarin Allard|99970.96
last_name_max|Allegra|Adryanah Allegra|99780.38
last_name_max|Allegretti|Ahamed Allegretti|99843.53
last_name_max|Allegretto|Abhiram Allegretto|99994.25
last_name_max|Allegro|Aliciedik Allegro|99890.50
last_name_max|Alleman|Adalverto Alleman|99943.61
last_name_max|Allemand|Aharon Allemand|99983.30
last_name_max|Allen|Akane Allen|99935.24
last_name_max|Alleva|Adiah Alleva|99942.02
last_name_max|Allison|Acquilla Allison|99616.20
last_name_max|Allocca|Allisina Allocca|99995.15
last_name_max|Alma|Albertine Alma|99980.03
last_name_max|Almeida|Adia Almeida|99868.07
last_name_max|Alo|Allan Alo|99969.64
last_name_max|Aloise|Ahamad Aloise|99883.25
last_name_max|Aloisi|Alcander Aloisi|99927.32
last_name_max|Aloisio|Aidan Aloisio|99923.98
last_name_max|Alonge|Alosius Alonge|99917.57
last_name_max|Alongi|Aldrick Alongi|99938.53
last_name_max|Alphonse|Adrianus Alphonse|99866.87
last_name_max|Altadonna|Abbegayle Altadonna|99856.24
last_name_max|Altamura|Allaya Altamura|99973.55
last_name_max|Altavilla|Algenon Altavilla|99988.23
last_name_max|Altier|Adriah Altier|99946.17
last_name_max|Altieri|Adinna Altieri|99990.33
last_name_max|Altimari|Adan Altimari|99843.06
last_name_max|Altobelli|Ahmed Altobelli|99946.98
last_name_max|Altobello|Albyrt Altobello|99823.80
last_name_max|Altoe|Aliki Altoe|99816.96
last_name_max|Altomare|Airamis Altomare|99975.99
last_name_max|Alu|Agrippa Alu|99853.69
last_name_max|Alvarado|Addem Alvarado|99502.68
last_name_max|Alvarenga|Alfreda Alvarenga|99847.45
last_name_max|Alvarez|Adryon Alvarez|99897.37
last_name_max|Alvernaz|Alaisdair Alvernaz|99929.91
last_name_max|Alves|Adalverto Alves|99786.20
last_name_max|Alvez|Alsona Alvez|99902.89
last_name_max|Amabile|Alse Amabile|99867.52
last_name_max|Amadeo|Alane Amadeo|99611.24
last_name_max|Amadio|Alina Amadio|99992.56
last_name_max|Amalfitano|Aberah Amalfitano|99990.71
last_name_max|Amantea|Achilleo Amantea|99966.55
last_name_max|Amante|Albean Amante|99970.74
last_name_max|Amara|Adalea Amara|99981.52
last_name_max|Amar|Adrina Amar|99862.66
last_name_max|Amaral|Aleric Amaral|99981.81
last_name_max|Amarante|Abigayle Amarante|99940.95
last_name_max|Amari|Adin Amari|99949.42
last_name_max|Amaro|Achuta Amaro|99945.11
last_name_max|Amato|Alistaire Amato|99837.50
last_name_max|Amatucci|Aleksanteri Amatucci|99868.42
last_name_max|Ambrogi|Adlar Ambrogi|99917.48
last_name_max|Ambrogio|Aldan Ambrogio|99786.16
last_name_max|Ambroise|Adreann Ambroise|99966.72
last_name_max|Ambrosia|Alfred Ambrosia|99850.51
last_name_max|Ambrosi|Allisona Ambrosi|99855.05
last_name_max|Ambrosini|Alrik Ambrosini|99995.42
last_name_max|Ambrosino|Ahura Ambrosino|99858.33
last_name_max|Ambrosio|Aide Ambrosio|99976.46
last_name_max|Ambrozim|Alfeos Ambrozim|99959.00
last_name_max|Ambrozina|Aella Ambrozina|99972.11
last_name_max|Ambrozin|Ainsley Ambrozin|99853.39
last_name_max|Amedee|Akiva Amedee|99982.55
last_name_max|Amedeo|Altair Amedeo|99914.64
last_name_max|Amelio|Agamemnon Amelio|99950.14
last_name_max|Amici|Alaysia Amici|99945.11
last_name_max|Amico|Affinity Amico|99992.04
last_name_max|Amicone|Abhaya Amicone|99809.32
last_name_max|Amidei|Alson Amidei|99893.55
last_name_max|Amim|Alcina Amim|99991.53
last_name_max|Amiot|Alonzo Amiot|99997.29
last_name_max|Amirault|Allisen Amirault|99977.88
last_name_max|Ammirati|Adare Ammirati|99773.53
last_name_max|Amodei|Alson Amodei|99965.96
last_name_max|Amodeo|Allastir Amodeo|99883.59
last_name_max|Amodio|Adine Amodio|99916.52
last_name_max|Amore|Aegeon Amore|99983.25
last_name_max|Amorim|Albertina Amorim|99996.70
last_name_max|Amorosi|Abbigael Amorosi|99921.11
last_name_max|Amoroso|Alric Amoroso|99815.00
last_name_max|Amyot|Affra Amyot|99671.95
last_name_max|Anastasia|Abriale Anastasia|99861.92
last_name_max|Anastasi|Alitsha Anastasi|99904.26
last_name_max|Anastasio|Alodia Anastasio|99801.17
last_name_max|Ancar|Alpha Ancar|99947.14
last_name_max|Ancel|Alphoeus Ancel|99895.86
last_name_max|Ancelet|Allissa Ancelet|99924.37
last_name_max|Anchesqui|Ailbert Anchesqui|99923.77
last_name_max|Ancona|Aimon Ancona|99863.03
last_name_max|Anctil|Abriana Anctil|99921.81
last_name_max|Andersdatter|Affinity Andersdatter|99999.34
last_name_max|Andersen|Aeron Andersen|99989.79
last_name_max|Anderson|Albani Anderson|99738.75
last_name_max|Andolina|Akako Andolina|99862.98
last_name_max|Andrade|Adelino Andrade|99823.24
last_name_max|Andrea|Albertha Andrea|99787.84
last_name_max|Andre|Abir Andre|99883.74
last_name_max|Andreano|Aharon Andreano|99896.06
last_name_max|Andreasdatter|Adriah Andreasdatter|99846.11
last_name_max|Andreini|Adelino Andreini|99778.25
last_name_max|Andreola|Adaleah Andreola|99911.69
last_name_max|Andreoli|Alawa Andreoli|99974.50
last_name_max|Andreotti|Alldridge Andreotti|99914.38
last_name_max|Andreozzi|Alohi Andreozzi|99538.40
last_name_max|Andrepont|Alexandre Andrepont|99991.04
last_name_max|Andrews|Ai Andrews|99861.70
last_name_max|Andriano|Alpheaus Andriano|99894.48
last_name_max|Andriola|Alice Andriola|99746.97
last_name_max|Andry|Aleister Andry|99824.64
last_name_max|Anello|Achazia Anello|99919.82
last_name_max|Ange|Abrienna Ange|99994.56
last_name_max|Angeletti|Allisenah Angeletti|99994.00
last_name_max|Angeli|Absolum Angeli|99996.08
last_name_max|Angelico|Alsoomse Angelico|99923.07
last_name_max|Angelillo|Alliss Angelillo|99887.76
last_name_max|Angelini|Adarra Angelini|99959.92
last_name_max|Angelino|Adilenna Angelino|99905.33
last_name_max|Angelis|Aggie Angelis|99999.17
last_name_max|Angelle|Adalai Angelle|99879.52
last_name_max|Angello|Alben Angello|99903.25
last_name_max|Angelo|Airamis Angelo|99985.81
last_name_max|Angelone|Acton Angelone|99852.86
last_name_max|Angeloni|Alaqua Angeloni|99903.04
last_name_max|Angelotti|Altrina Angelotti|99905.81
last_name_max|Angelucci|Aldean Angelucci|99980.91
last_name_max|Anger|Abril Anger|99953.70
last_name_max|Angers|Aliz Angers|99941.66
last_name_max|Angevine|Akeelah Angevine|99934.88
last_name_max|Angier|Alissyn Angier|99969.24
last_name_max|Angiolillo|Allisina Angiolillo|99849.71
last_name_max|Angles|Abbie Angles|99720.15
last_name_max|Angotti|Acantha Angotti|99929.40
last_name_max|Aniello|Aislynn Aniello|99990.84
last_name_max|Annese|Abo Annese|99937.34
last_name_max|Annunziata|Aidah Annunziata|99781.75
last_name_max|Annunziato|Allythiah Annunziato|99952.88
last_name_max|Ansel|Aaronn Ansel|99993.17
last_name_max|Anselmi|Abbas Anselmi|99895.07
last_name_max|Anselmo|Allison Anselmo|99715.10
last_name_max|Antaya|Agrippa Antaya|99925.35
last_name_max|Anthony|Adhamh Anthony|99998.63
last_name_max|Antico|Ahlois Antico|99978.39
last_name_max|Antin|Adenna Antin|99993.65
last_name_max|Antolini|Abna Antolini|99854.84
last_name_max|Antonelli|Agata Antonelli|99741.46
last_name_max|Antonellis|Aleenah Antonellis|99981.44
last_name_max|Antonetti|Adreana Antonetti|99969.99
last_name_max|Antoni|Addiah Antoni|99976.48
last_name_max|Antoniazzi|Ainsworth Antoniazzi|99907.27
last_name_max|Antonini|Afric Antonini|99930.50
last_name_max|Antonino|Abhay Antonino|99934.67
last_name_max|Antonioli|Adelynn Antonioli|99871.18
last_name_max|Antonucci|Aleksandr Antonucci|99952.88
last_name_max|Antunes|Agaue Antunes|99751.75
last_name_max|Anzivino|Adolfina Anzivino|99804.80
last_name_max|Apollo|Adelynn Apollo|99548.42
last_name_max|Apolonio|Abe Apolonio|99868.41
last_name_max|Apple|Abree Apple|99841.29
last_name_max|Appolinario|Ahearn Appolinario|99978.43
last_name_max|Aprea|Alcot Aprea|99995.48
last_name_max|Aquila|Abeir Aquila|99977.67
last_name_max|Aquilina|Alcibiades Aquilina|99999.86
last_name_max|Aquilino|Adare Aquilino|99926.05
last_name_max|Aquino|Addiah Aquino|99985.23
last_name_max|Arabia|Adryn Arabia|99874.67
last_name_max|Arabie|Allisyn Arabie|99985.63
last_name_max|Arace|Alaina Arace|99734.85
last_name_max|Aragona|Adreann Aragona|99946.72
last_name_max|Arata|Adney Arata|99931.34
last_name_max|Arcand|Abbeygale Arcand|99867.13
last_name_max|Arcara|Aira Arcara|99981.88
last_name_max|Arcari|Aisha Arcari|99872.63
last_name_max|Arcaro|Akshaj Arcaro|99801.33
last_name_max|Arcement|Aissa Arcement|99706.85
last_name_max|Archambault|Alair Archambault|99935.61
last_name_max|Archambeau|Adamu Archambeau|99887.03
last_name_max|Archambeault|Allisun Archambeault|99994.59
last_name_max|Archer|AlAshab Archer|99889.21
last_name_max|Arco|Adooeette Arco|99930.05
last_name_max|Ardito|Altheah Ardito|99906.77
last_name_max|Ardizzon|Alline Ardizzon|99929.29
last_name_max|Ardizzone|Agosto Ardizzone|99968.93
last_name_max|Ardoin|Aimyah Ardoin|99875.06
last_name_max|Ardolino|Alka Ardolino|99976.67
last_name_max|Arduini|Altagracia Arduini|99982.32
last_name_max|Arellano|Allegra Arellano|99947.20
last_name_max|Arena|Abelard Arena|99672.01
last_name_max|Argenio|Abrahsa Argenio|99906.79
last_name_max|Argenta|Alceena Argenta|99960.65
last_name_max|Argenti|Ailene Argenti|99985.32
last_name_max|Argentieri|Adreanna Argentieri|99655.12
last_name_max|Argento|Alumit Argento|99951.04
last_name_max|Argenziano|Acer Argenziano|99991.12
last_name_max|Argiro|Agnelle Argiro|99989.82
last_name_max|Argo|Adalgisa Argo|99922.34
last_name_max|Ariail|Aimey Ariail|99863.72
last_name_max|Arias|Agnessija Arias|99976.45
last_name_max|Aries|Aalam Aries|99920.83
last_name_max|Aris|Alexia Aris|99965.18
last_name_max|Arlotta|Adrianne Arlotta|99551.10
last_name_max|Armand|Adenna Armand|99872.59
last_name_max|Armani|Aldwin Armani|99985.07
last_name_max|Armanini|Abrahem Armanini|99942.60
last_name_max|Armato|Alsone Armato|99941.71
last_name_max|Armel|Alexandrukas Armel|99996.71
last_name_max|Armellino|Akiyo Armellino|99801.42
last_name_max|Armenia|Adalbert Armenia|99887.09
last_name_max|Armenti|Alesandro Armenti|99883.99
last_name_max|Armento|Abbrienna Armento|99942.52
last_name_max|Armetta|Alekanekelo Armetta|99910.35
last_name_max|Armstrong|Agethe Armstrong|99767.28
last_name_max|Arnaud|Albertyna Arnaud|99949.42
last_name_max|Arnette|Aldrich Arnette|99981.82
last_name_max|Arno|Allisah Arno|99902.42
last_name_max|Arnold|Aimy Arnold|99992.60
last_name_max|Arnoldi|Ahmik Arnoldi|99997.98
last_name_max|Arnoult|Aleece Arnoult|99951.82
last_name_max|Arola|Aleka Arola|99794.70
last_name_max|Arone|Aloha Arone|99863.69
last_name_max|Arpin|Abrial Arpin|99982.93
last_name_max|Arpini|Adley Arpini|99987.61
last_name_max|Arpino|Althya Arpino|99964.70
last_name_max|Arquette|Adea Arquette|99858.23
last_name_max|Arrighi|Abbygail Arrighi|99815.85
last_name_max|Arrigo|Alldrick Arrigo|99949.27
last_name_max|Arrigoni|Aeneas Arrigoni|99995.11
last_name_max|Arrivabene|Ai Arrivabene|99791.62
last_name_max|Arroyo|Akshay Arroyo|99686.63
last_name_max|Arruda|Aiko Arruda|99996.38
last_name_max|Arsenault|Aleen Arsenault|99918.46
last_name_max|Arseneau|Adria Arseneau|99910.36
last_name_max|Arseneault|Aba Arseneault|99899.46
last_name_max|Artale|Adlin Artale|99989.33
last_name_max|Artigue|Ahmet Artigue|99932.16
last_name_max|Artino|Aleksandr Artino|99945.68
last_name_max|Artis|Aldwin Artis|99805.76
last_name_max|Artus|Alisan Artus|99911.63
last_name_max|Artuso|Adia Artuso|99874.05
last_name_max|Asaro|Alrik Asaro|99898.12
last_name_max|Ashley|Aimiah Ashley|99923.78
last_name_max|Assante|Alaister Assante|99990.01
last_name_max|Asselin|Alexia Asselin|99939.48
last_name_max|Assis|Agaue Assis|99698.94
last_name_max|Asti|Aliyah Asti|99810.47
last_name_max|Atkins|Achillea Atkins|99889.64
last_name_max|Atkinson|Alisin Atkinson|99961.50
last_name_max|Attanasio|Abhorson Attanasio|99870.46
last_name_max|Attardo|Abijah Attardo|99985.08
last_name_max|Aube|Alleen Aube|99930.68
last_name_max|Aubel|Alandra Aubel|99763.09
last_name_max|Aubert|Allatheah Aubert|99973.35
last_name_max|Aubertin|Agath Aubertin|99945.57
last_name_max|Aubin|Adelmio Aubin|99937.89
last_name_max|Aubuchon|Allix Aubuchon|99958.66
last_name_max|Auciello|Albein Auciello|99974.79
last_name_max|Auclair|Alexia Auclair|99933.73
last_name_max|Aucoin|Alice Aucoin|99928.55
last_name_max|Aude|Aldora Aude|99962.19
last_name_max|Audia|Addler Audia|99776.82
last_name_max|Audi|Alonso Audi|99957.83
last_name_max|Audibert|Alsone Audibert|99913.00
last_name_max|Audino|Ainslee Audino|99990.69
last_name_max|Aufiero|Achilleo Aufiero|99940.91
last_name_max|Auge|Adaly Auge|99900.77
last_name_max|Augello|Aleisha Augello|99934.24
last_name_max|Auger|Ahron Auger|99959.18
last_name_max|Augeri|Allethyah Augeri|99611.40
last_name_max|Augusta|Abbott Augusta|99885.45
last_name_max|Auguste|Adison Auguste|99995.45
last_name_max|Augustin|Albion Augustin|99829.36
last_name_max|Augustino|Aldred Augustino|99908.69
last_name_max|Augusto|Alania Augusto|99967.03
last_name_max|Augustsdatter|Adala Augustsdatter|99933.29
last_name_max|Augustsen|Adam Augustsen|99944.62
last_name_max|Aurand|Aleida Aurand|99904.48
last_name_max|Aurelio|Akosua Aurelio|99959.25
last_name_max|Auricchio|Alexandrina Auricchio|99903.67
last_name_max|Auriemma|Aliyeh Auriemma|99837.52
last_name_max|Aurilio|Abbot Aurilio|99894.25
last_name_max|Austin|Alix Austin|99988.91
last_name_max|Authement|Aaronn Authement|99909.28
last_name_max|Authier|Afric Authier|99972.89
last_name_max|Autin|Alejanda Autin|99855.70
last_name_max|Autry|Aiyana Autry|99961.57
last_name_max|Auxier|Albie Auxier|99954.47
last_name_max|Auzenne|Addi Auzenne|99988.22
last_name_max|Avara|Ahlyssa Avara|99983.89
last_name_max|Ave|Alfeus Ave|99931.18
last_name_max|Avelar|Able Avelar|99950.47
last_name_max|Aveleda|Abrahamo Aveleda|99643.73
last_name_max|Avella|Abdryann Avella|99880.55
last_name_max|Avellino|Aldwin Avellino|99688.74
last_name_max|Avena|Agnieszka Avena|99927.09
last_name_max|Aveni|Afram Aveni|99977.05
last_name_max|Avery|Ahab Avery|99893.39
last_name_max|Avila|Agath Avila|99991.42
last_name_max|Avolio|Alitheah Avolio|99969.93
last_name_max|Ayala|Alik Ayala|99910.64
last_name_max|Aydelotte|Adriano Aydelotte|99988.46
last_name_max|Ayers|Adenna Ayers|99881.37
last_name_max|Aymond|Aaniyah Aymond|99938.67
last_name_max|Ayon|Albert Ayon|99874.92
last_name_max|Azevedo|Aila Azevedo|99982.35
last_name_max|Azzarello|Alliss Azzarello|99902.19
last_name_max|Azzaro|Ahab Azzaro|99638.66
last_name_max|Azzopardi|Ad Azzopardi|99944.74
last_name_max|Baas|Alfie Baas|99991.26
last_name_max|Babel|Alaistair Babel|99891.46
last_name_max|Babin|Acantha Babin|99957.24
last_name_max|Babineau|Abriale Babineau|99737.53
last_name_max|Babineaux|Adryannah Babineaux|99908.99
last_name_max|Babino|Allard Babino|99935.70
last_name_max|Baccaro|Aida Baccaro|99798.50
last_name_max|Bacci|Aleisha Bacci|99941.39
last_name_max|Bacco|Agathia Bacco|99931.84
last_name_max|Baceti|Aeary Baceti|99960.13
last_name_max|Bacha|Alejo Bacha|99973.10
last_name_max|Bachand|Allethyah Bachand|99974.40
last_name_max|Bachetti|Aherin Bachetti|99988.04
last_name_max|Bacigalupi|Addam Bacigalupi|99774.05
last_name_max|Bacino|Alphonsus Bacino|99916.21
last_name_max|Bacot|Aaryn Bacot|99914.85
last_name_max|Badami|Alphoeus Badami|99921.42
last_name_max|Badamo|Aden Badamo|99762.70
last_name_max|Badaracco|Abria Badaracco|99861.75
last_name_max|Badeau|Aloisio Badeau|99970.56
last_name_max|Badeaux|Abiba Badeaux|99945.48
last_name_max|Badie|Allythea Badie|99982.54
last_name_max|Badolato|Agata Badolato|99418.74
last_name_max|Badon|Aieshah Badon|99928.96
last_name_max|Badour|Abelard Badour|99976.60
last_name_max|Badr|Abelardo Badr|99425.87
last_name_max|Bady|Ahmet Bady|99459.79
last_name_max|Baffa|Akaho Baffa|99984.58
last_name_max|Baglio|Acura Baglio|99689.95
last_name_max|Bagnoli|Agethe Bagnoli|99979.54
last_name_max|Baiamonte|Alpha Baiamonte|99926.63
last_name_max|Baiense|Ade Baiense|99931.26
last_name_max|Bailey|Addi Bailey|99943.26
last_name_max|Baillargeon|Aimie Baillargeon|99917.39
last_name_max|Bailly|Allythya Bailly|99975.80
last_name_max|Bain|Affera Bain|99861.16
last_name_max|Baio|Adsila Baio|99929.10
last_name_max|Baiocchi|Alidia Baiocchi|99944.37
last_name_max|Baird|Aldrige Baird|99940.49
last_name_max|Baise|Aleyn Baise|99937.04
last_name_max|Baize|Alcandor Baize|99987.22
last_name_max|Baker|Akbar Baker|99935.11
last_name_max|Bakker|Alby Bakker|99944.73
last_name_max|Bal|Alania Bal|99929.46
last_name_max|Balarini|Alessandro Balarini|99790.28
last_name_max|Balay|Alecia Balay|99736.39
last_name_max|Balbi|Adah Balbi|99885.77
last_name_max|Balbo|Adrionne Balbo|99939.72
last_name_max|Balboni|Abnar Balboni|99763.19
last_name_max|Baldacci|Alfonso Baldacci|99979.58
last_name_max|Baldassano|Alecia Baldassano|99945.68
last_name_max|Baldassare|Adan Baldassare|99937.62
last_name_max|Baldassari|Allston Baldassari|99931.04
last_name_max|Baldassarre|Ailee Baldassarre|99970.15
last_name_max|Baldelli|Aegeon Baldelli|99939.39
last_name_max|Baldi|Adamson Baldi|99978.05
last_name_max|Baldini|Alexia Baldini|99895.98
last_name_max|Baldino|Almah Baldino|99936.44
last_name_max|Baldo|Adriane Baldo|99823.04
last_name_max|Baldocchi|Abriann Baldocchi|99893.17
last_name_max|Baldoni|Aliye Baldoni|99949.82
last_name_max|Baldotto|Adia Baldotto|99703.28
last_name_max|Balducci|Aiken Balducci|99889.35
last_name_max|Baldwin|Abital Baldwin|99903.48
last_name_max|Balestra|Absolom Balestra|99969.83
last_name_max|Balestre|Abhor Balestre|99803.07
last_name_max|Balestreri|Almeda Balestreri|99952.87
last_name_max|Balestrieri|Adem Balestrieri|99860.70
last_name_max|Baliana|Adalverto Baliana|99730.44
last_name_max|Balla|Aineislis Balla|99948.49
last_name_max|Ball|Adyson Ball|99819.71
last_name_max|Ballard|Alsona Ballard|99939.92
last_name_max|Ballarini|Adaline Ballarini|99683.63
last_name_max|Ballerini|Ainslie Ballerini|99944.57
last_name_max|Balli|Allisona Balli|99954.09
last_name_max|Ballin|Aarron Ballin|99943.32
last_name_max|Ballo|Aleric Ballo|99801.44
last_name_max|Ballou|Aamoir Ballou|99946.50
last_name_max|Balma|Aimond Balma|99829.03
last_name_max|Balon|Alphus Balon|99867.57
last_name_max|Balzano|Acey Balzano|99899.24
last_name_max|Balzarini|Alania Balzarini|99965.53
last_name_max|Bambino|Ahmaud Bambino|99693.21
last_name_max|Bamonte|Aaniyah Bamonte|99913.89
last_name_max|Banchero|Alberto Banchero|99831.45
last_name_max|Bandeira|Abbagail Bandeira|99950.58
last_name_max|Bandemer|Alcine Bandemer|99920.63
last_name_max|Bandi|Abuna Bandi|99767.35
last_name_max|Banducci|Alastaire Banducci|99930.86
last_name_max|Banet|Ahlois Banet|99943.87
last_name_max|Banks|Alka Banks|99915.24
last_name_max|Banse|Afrodite Banse|99992.61
last_name_max|Banville|Aidia Banville|99886.32
last_name_max|Baptista|Addler Baptista|99951.76
last_name_max|Baptiste|Aamer Baptiste|99720.62
last_name_max|Baquete|Abbygail Baquete|99979.03
last_name_max|Bara|Allisina Bara|99899.03
last_name_max|Barajas|Aileanah Barajas|99942.68
last_name_max|Baranello|Alandra Baranello|99999.38
last_name_max|Baratta|Alettah Baratta|99748.63
last_name_max|Barazzuol|Alohi Barazzuol|99970.99
last_name_max|Barba|Achill Barba|99931.68
last_name_max|Barbagallo|Addler Barbagallo|99886.95
last_name_max|Barbano|Abiba Barbano|99930.89
last_name_max|Barbara|Abreona Barbara|99803.05
last_name_max|Barbaria|Alexander Barbaria|99860.45
last_name_max|Barbarino|Alisea Barbarino|99957.38
last_name_max|Barbaro|Adriann Barbaro|99920.42
last_name_max|Barbati|Alishah Barbati|99799.78
last_name_max|Barbato|Adrien Barbato|99892.49
last_name_max|Barbe|Aban Barbe|99861.48
last_name_max|Barbeau|Aliedik Barbeau|99964.90
last_name_max|Barbella|Alfeo Barbella|99900.08
last_name_max|Barber|Adelice Barber|99900.11
